Glamorgan first innings forfeited and 273-5 ( H. Morris	S-ORG O O O O O O B-PER E-PER
soccer matches played on Sunday :	O O O O O O
At the age of 18 she became a Loretto nun , hoping to work at the Order 's Calcutta mission .	O O O O O O O O S-MISC O O O O O O O O O S-LOC O O
this artificial atmosphere is very dangerous because those who spread it could become its prisoners , " Levy said .	O O O O O O O O O O O O O O O O O S-PER O O
-- Paris Newsroom +33 1 42 21 53 81	O B-ORG E-ORG O O O O O O
6. Van Doorn 176	O B-PER E-PER O
But the coastal towns got off lightly as the flooding that had been expected due to a combination of spring tides and high winds failed to materialise .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
CENTRAL DIVISION	B-MISC E-MISC
3. Vladimir Dubrovshchik ( Belarus ) 64.02	O B-PER E-PER O S-LOC O O
-- Sydney newsroom 61-2 9373-1800	O S-LOC O O O
4. Fogarty 238	O S-PER O
Metz 3 ( Pires 35th , 48th , 74th ) Strasbourg 1 ( Rodriguez 56th ) .	S-ORG O O S-PER O O O O O O S-ORG O O S-PER O O O
Tension has mounted since Israeli Prime Minister Benjamin Netanyahu took office in June vowing to retain the Golan Heights Israel captured from Syria in the 1967 Middle East war .	O O O O S-MISC O O B-PER E-PER O O O O O O O O B-LOC E-LOC S-LOC O O S-LOC O O O B-LOC E-LOC O O
NovDec unq 732.50 unq unq	O O O O O
Both drugs are types of interferon .	O O O O O O O
German anti-nuclear activists in pantomime protest .	S-MISC O O O O O O
-- Caracas newsroom , 582 834405 REUTER JPR	O S-LOC O O O O S-PER O
Tokyo Nikkei average -- 38,915.87 ( Dec 29/89 )	S-LOC S-MISC O O O O O O O
Zimbabwe on Monday :	S-LOC O O O
Shares in Slough , which earlier announced a 14 percent rise in first-half pretax profit to 37.4 million stg , climbed nearly six percent , or 14p to 250 pence at 1009 GMT , while British Land added 12-1 / 2p to 468p , Land Securities rose 5-1 / 2p to 691p and Hammerson was 8p higher at 390 .	O O S-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-MISC O O B-ORG E-ORG O O O O O O O B-ORG E-ORG O O O O O O O S-ORG O O O O O O
CATANIA , Sicily 1996-08-29	S-LOC O S-LOC O
14. Darren McKenzie-Potter ( New Zealand ) 1:06.289	O B-PER E-PER O B-LOC E-LOC O O
PARIS 1996-08-29	S-LOC O
CRICKET - CRAWLEY FORCED TO SIT AND WAIT .	O O S-PER O O O O O O
" What we hear every morning is gloom , resignation and scepticism ...	O O O O O O O O O O O O O
He said the women reported the blackmail letters and police caught the girl on Wednesday as she tried to pick up the cash at the Sierakowice railway station .	O O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O O O
2. Moore	O S-PER
Twente Enschede 3 1 2 0 4 2 5	B-ORG E-ORG O O O O O O O
-- Secretary general of the Sud-PTT trade union at France Telecom all the elements are in place for social unrest in the next few weeks .	O O O O O S-MISC O O O B-ORG E-ORG O O O O O O O O O O O O O O O
Hansa Rostock 3 0 2 1 3 4 2	B-ORG E-ORG O O O O O O O
1. Michael Doohan ( Australia ) Honda one minute 50.250	O B-PER E-PER O S-LOC O S-ORG O O O
S. Campbell 69 ; G. Rose 7-73 ) .	B-PER E-PER O O B-PER E-PER O O O
( 57th )	O O O
Other details are not available .	O O O O O O
Xhelili said Thompson , who is divorced , said he befriended the boys , both aged under 10 , because they reminded him of his own children who live with his former wife in London .	S-PER O S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O
2. Jane Quigley ( U.S. ) 18 points	O B-PER E-PER O S-LOC O O O
9 - Cedric Pioline ( France ) beat Gregory Carraz ( France ) 7-6	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O
Queens Park Rangers 3 2 1 0 5 3 7	B-ORG I-ORG E-ORG O O O O O O O
Pusan 0 2 1 3 7 2	S-ORG O O O O O O
" The completion of the test ban treaty would be an important and practical step in the gradual process of achieving total nuclear disarmament , " it said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The 116 , representing political parties in the capital Kinshasa , will help organise a voter census , a constitutional referendum planned for January and efforts to brief potential voters on what balloting involves .	O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O
If	O
PONTIAC , Mich .	S-LOC O S-LOC O
A drought scoured the steppes in May and June , stunting the growing wheat .	O O O O O O O O O O O O O O O
RUGBY LEAGUE - EUROPEAN SUPER LEAGUE RESULTS / STANDINGS .	B-MISC E-MISC O B-MISC I-MISC E-MISC O O O O
Results of weekend matches	O O O O
Hopefully , this will have been my nerves for the whole tournament . "	O O O O O O O O O O O O O O
Stallone , fiancee have baby girl .	S-PER O O O O O O
5. Gerhard Berger ( Austria ) Benetton 1:51.960	O B-PER E-PER O S-LOC O S-ORG O
Mother Teresa devoted to world 's poor .	B-PER E-PER O O O O O O
140 Robert Allenby ( Australia ) 69 71 , Mark Roe 69 71	O B-PER E-PER O S-LOC O O O O B-PER E-PER O O
He is appealing in both cases to the Supreme Court .	O O O O O O O O B-ORG E-ORG O
1-6 6-1	O O
His statement gave no venue or precise date for the meeting .	O O O O O O O O O O O O
Sri Lanka , playing in front of their home crowd for the first time since winning the World Cup last March , comfortably passed India 's modest 226-5 from 50 overs in 44.2 overs .	B-LOC E-LOC O O O O O O O O O O O O O O O B-MISC E-MISC O O O O O S-LOC O O O O O O O O O O
Bosnian Prime Minister Hasan Muratovic arrived in Ankara on Tuesday for an official visit where he is due to discuss Turkey 's aid to the former Yugoslav republic .	S-MISC O O B-PER E-PER O O S-LOC O O O O O O O O O O O O S-LOC O O O O O S-MISC O O
U.S. Senate Intelligence Committee chairman Arlen Specter , who has questioned whether Defence Secretary William Perry should resign over the latest bombing in Saudi Arabia , met Saudi officials on Monday during a brief visit to the kingdom .	B-ORG I-ORG I-ORG E-ORG O B-PER E-PER O O O O O S-ORG O B-PER E-PER O O O O O O O B-LOC E-LOC O O S-MISC O O O O O O O O O O O
G. Thorpe st Moin Khan b Aamir Sohail 23	B-PER E-PER O B-PER E-PER O B-PER E-PER O
LONDON 1996-08-25	S-LOC O
Open badminton tournament on Thursday ( prefix number denotes	S-MISC O O O O O O O O
STOCKHOLM 1996-08-29	S-LOC O
LAS CRUCES , N.M. 1996-08-22	B-LOC E-LOC O O O
Summaries of Bundesliga matches	O O S-MISC O
Midwest direct cash hog prices Tuesday were seen steady following strong demand Monday that lifted prices as much as $ 1.50 per cwt in some areas , livestock dealers said .	S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
-- Bombay Commodities +91-22-265 9000	O B-ORG E-ORG O O
Newell 's Old Boys 0 Velez Sarsfield 2	B-ORG I-ORG I-ORG E-ORG O B-ORG E-ORG O
QUITO , Ecuador 1996-08-23	S-LOC O S-LOC O
Conservative New Democracy ( ND ) party leader Miltiadis Evert will be hitting the campaign trail and head to Alexandroupolis this weekend to speak to the city 's businessmen on Sunday morning , ND said .	B-ORG I-ORG E-ORG O S-ORG O O O B-PER E-PER O O O O O O O O O S-LOC O O O O O O O O O O O O O S-ORG O O
provision 3,820,000 4,658,000 7,047,000 4,534,000	O O O O O
SOCCER - BRAZILIAN CHAMPIONSHIP RESULTS .	O O S-MISC O O O
It could take up to a month before a new vote but the timetable is not yet clear .	O O O O O O O O O O O O O O O O O O O
BOGOTA , Colombia 1996-08-28	S-LOC O S-LOC O
Necaxa 3 1 1 1 6 4 4	S-ORG O O O O O O O
( Chicago newsdesk 312-408-8720 )	O S-LOC O O O
ROME 1996-08-28	S-LOC O
As head of Handgun Control Inc. , Sarah Brady , 54 , campaigned nonstop for tough gun control in the years following the shooting of her husband and then President Reagan in 1981 .	O O O B-ORG I-ORG E-ORG O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O S-PER O O O
1. Charmaine Crooks ( Canada ) two minutes 00.42 seconds	O B-PER E-PER O S-LOC O O O O O
RTRS - FOCUS-News forecasts alien-led profit boost .	S-ORG O O O O O O O
Chemlon Humenne 0 Tatran Presov 1	B-ORG E-ORG O B-ORG E-ORG O
The planned reopening of Afghanistan 's main northern Salang highway as a result of peace talks with an opposition alliance has been put off until Wednesday , official Kabul Radio said on Sunday .	O O O O S-LOC O O O S-LOC O O O O O O O O O O O O O O O O O O O B-ORG E-ORG O O O O
PITTSBURGH 55 73 .430 13	S-ORG O O O O
WESTERN DIVISION	B-MISC E-MISC
" I would like to no ( sic ) if you are still in slavery if you are , it will not be long before we shall have crushed the system that now oppreses you for in the course of three months you shall have your liberty .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Auxerre 0 Marseille 0	S-ORG O S-ORG O
Michael Conlon	B-PER E-PER
Australian Davis Cup captain John Newcombe on Thursday signalled his possible resignation if his team loses an away tie against Croatia next month .	S-MISC B-MISC E-MISC O B-PER E-PER O O O O O O O O O O O O O O S-LOC O O O
He advocated tough action against foreign countries to cut U.S. trade deficits but sometimes been out of step with the party 's liberal wing .	O O O O O O O O O S-LOC O O O O O O O O O O O O O O O
Aston Villa 3 2 0 1 4 2 6	B-ORG E-ORG O O O O O O O
" We plan to build a 10,000-seat stadium , but it may well be situated elsewhere , " said club chairman Abdul Rahman Haj Yihye . "	O O O O O O O O O O O O O O O O O O O O O B-PER I-PER I-PER E-PER O O
FC Nitra 4 0 0 4 1 8 0	B-ORG E-ORG O O O O O O O
9. Stephane Ortelli ( France ) / Bob Wollek ( France ) / Franz Konrad	O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O B-PER E-PER
The number of casinos has soared in Moscow since the collapse of communism .	O O O O O O O S-LOC O O O O O O
" He has been cleared .	O O O O O O
The government said on Tuesday that the threat from a mysterious killer germ , while still requiring vigilance , appears to be receding in the western Japan city of Sakai , where the epidemic hit the hardest .	O O O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O O S-LOC O O O O O O O O
CONTRACT ( MONTH ) APT CLOSE SETTLEMENT PREVIOUS SETTLE	O O O O O O O O O
216 Miguel Angel Martin ( Spain ) 75 70 71 , Costantino Rocca	O B-PER I-PER E-PER O S-LOC O O O O O B-PER E-PER
RTRS - Queensland gunman evades police in bush hunt .	S-ORG O S-LOC O O O O O O O
Saeed Anwar c Croft b Cork 176	B-PER E-PER O S-PER O S-PER O
BONN 1996-08-24	S-LOC O
21. Switzerland 8.15	O S-LOC O
Maslova told Reuters she was not an expert in sports medicine , but said it was too early to judge Popov 's chances of returning to competitive swimming .	S-PER O S-ORG O O O O O O O O O O O O O O O O O S-PER O O O O O O O O
AMMAN 1996-08-23	S-LOC O
DALLAS 1996-08-26	S-LOC O
Excise Commissioner W.N.F. Chandraratne denies allegations that new guidelines in issue of liquor licences are aimed at forcing large number of liquor licence holders out of business for political reasons .	O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O
Fiscal policy was expected to be loosened a bit in the second half of this year , boosting growth without running into a deficit .	O O O O O O O O O O O O O O O O O O O O O O O O O
1. Lauren Ottoz ( Italy ) 49.16	O B-PER E-PER O S-LOC O O
CRICKET - ENGLISH COUNTY CHAMPIONSHIP SCORES .	O O B-MISC I-MISC E-MISC O O
Thiel said on Wednesday that he had also asked Olympic 200 and 400 champion Michael Johnson to run as well as Christie .	S-PER O O O O O O O O S-MISC O O O O B-PER E-PER O O O O O S-PER O
Record Sept 13	O O O
Mother Teresa 's condition improved on Sunday as her fever abated , and on Monday she was able to scribble notes to doctors and nuns .	B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O
The dusty town of Taibe lacks the amenities of Jewish communities and many Israeli Arabs have long complained of state discrimination .	O O O O S-LOC O O O O S-MISC O O O B-MISC E-MISC O O O O O O O
Monaco 4 2 1 1 7 4 7	S-ORG O O O O O O O
( Norway ) , Stephen McAllister , Neal Briggs	O S-LOC O O B-PER E-PER O B-PER E-PER
-- New Democracy leader Miltiadis Evert vows support mesures for farmers and small business as he kicks off the conservative party 's campaign	O B-ORG E-ORG O B-PER E-PER O O O O O O O O O O O O O O O O O
Briton Ian Woosnam won	S-MISC B-PER E-PER O
While I served I sought to avoid the limelight because I did not want to become the message .	O O O O O O O O O O O O O O O O O O O
-- Amsterdam newsroom +31 20 504 5000 , Fax +31 20 504 5040	O S-LOC O O O O O O O O O O O
- 2 6-4 6-4	O O O O
SOCCER - SCOTTISH PREMIER DIVISION RESULT / STANDINGS .	O O S-MISC O O O O O O
Cash and Cash Equivalents 2,386 93	O O O O O O
NORTH DAKOTA	B-LOC E-LOC
He was spotted by a passerby trying to climb into an apartment in the early hours of Monday morning , " the spokesman said .	O O O O O O O O O O O O O O O O O O O O O O O O O
7-6 ( 7-4 ) 6-1	O O O O O
3. Luigi Seguy ( France ) TM	O B-PER E-PER O S-LOC O S-ORG
2. MTK 3 3 - - 7 1 9	O S-ORG O O O O O O O
Total Revenue $ 10,756 $ 13,102 $ 7,961 $ 5,507	O O O O O O O O O O
Essex are set to step up their English county championship challenge with a fifth consecutive victory after new-ball pair Neil Williams and Mark Ilott sent Gloucestershire reeling on Saturday .	S-ORG O O O O O O S-MISC O O O O O O O O O O O B-PER E-PER O B-PER E-PER O S-ORG O O O O
The ministry has said that it planned to return 96.6 percent of the arable land or 5.2 million hectares to its original owners by the end of this year .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
SEATTLE 1996-08-29	S-LOC O
Polish schoolgirl blackmailer wanted textbooks .	S-MISC O O O O O
Palestinian officials accused right-wing Prime Minister Benjamin Netanyahu of trying to stop the Ramallah meeting by keeping Arafat grounded .	S-MISC O O O O O B-PER E-PER O O O O O S-LOC O O O S-PER O O
( Spain ) , David Carter	O S-LOC O O B-PER E-PER
Leading goalscorers in the Polish	O O O O S-MISC
Tottenham 3 1 2 0 3 1 5	S-ORG O O O O O O O
TUE McCarthy YR EPS 125.3 112.0-149.0 93.2	O S-ORG O O O O O
The PUK said it had received confirmed reports that Iraqi troops , supported by tanks , artillery and armoured vehicles , have already penetrated some Kurdish areas .	O S-ORG O O O O O O O S-MISC O O O O O O O O O O O O O O O S-MISC O O
MOSCOW 1996-08-28	S-LOC O
" This squad is currently the basis of my planning for the 1998 World Cup , " Vogts said . "	O O O O O O O O O O O O O B-MISC E-MISC O O S-PER O O O
They read : " Ballybunion backs Clinton . "	O O O O S-ORG O S-PER O O
SOCCER - SWISS PREMIER DIVISION RESULTS / STANDINGS .	O O S-MISC O O O O O O
NEW YORK 1996-08-29	B-LOC E-LOC O
Her attacker , identified only as Jerzy L. , 36 , was arrested by police and will appear in court on Thursday morning , television reported .	O O O O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O
The Taiwan dollar closed slightly firmer on Thursday amid tight Taiwan dollar liquidity in the banking system , and dealers said the rate was likely to move narrowly in the near term .	O S-LOC O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O
for Pakistan in England 's second innings at The Oval on Monday	O S-LOC O S-LOC O O O O B-LOC E-LOC O O
( Red River ) 4.46 dn .02 5.00 unc -- --	O B-LOC E-LOC O O O O O O O O
It said Australian Sister Maureen Carey , 52 , and Italian Brother Raniero Iacomella , 28 , were held inside the compound .	O O S-MISC O B-PER E-PER O O O O S-MISC O B-PER E-PER O O O O O O O O O
Scott Draper ( Australia ) vs. Galo Blanco ( Spain )	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O
Turkey says 25 Kurd rebels killed in clashes .	S-LOC O O S-MISC O O O O O
66 Stephen Field , Paul Lawrie , Ian Pyman , Max Anglert	O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER
Hutnik Krakow 7 3 0 4 8 10 9	B-ORG E-ORG O O O O O O O
Prairies saw no frost Monday , none rest of week .	S-LOC O O O O O O O O O O
The Berlin prosecutors said they had been alerted to the two men by customs officials who intercepted packages containing pornographic photographs and order forms .	O S-LOC O O O O O O O O O O O O O O O O O O O O O O O
Police said they fought armed activists from the BNP , headed by former prime minister Begum Khaleda Zia .	O O O O O O O O S-ORG O O O O O O B-PER I-PER E-PER O
VfB Stuttgart 3 3 0 0 10 1 9	B-ORG E-ORG O O O O O O O
The message was quite clear , " she told one interviewer . "	O O O O O O O O O O O O O
The rest of the side is made up mainly of Moslem Arabs .	O O O O O O O O O O B-MISC E-MISC O
Second round	O O
Sydney 21 15 1 5 2067 1687 122.5 62	S-ORG O O O O O O O O
Jaha added an RBI single in the ninth and had four RBI .	S-PER O O S-MISC O O O O O O O S-MISC O
U.S. corn gluten meal steady-higher , feed flat .	S-LOC O O O O O O O O
LONDON 1996-08-22	S-LOC O
Tomorrow , if someone punches me , I would not know how to react . "	O O O O O O O O O O O O O O O O
Mohammad Akam	B-PER E-PER
LONDON 1996-08-24	S-LOC O
Arminia Bielefeld 3 0 2 1 2 3 2	B-ORG E-ORG O O O O O O O
CHICAGO 63 62 .504 4	S-ORG O O O O
Officials said the Senate vote removed all existing legislative hurdles in the way of CVRD 's sell-off .	O O O S-ORG O O O O O O O O O O S-ORG O O O
TORONTO 62 71 .466 13	S-ORG O O O O
Amount $ 0.056 $ 0.056	O O O O O
VfL Bochum 3 1 2 0 3 2 5	B-ORG E-ORG O O O O O O O
TOKYO 1996-08-26	S-LOC O
About 60 police , helicopters and fixed-wing aircraft have maintained an overnight cordon around 15 sq km ( six sq miles ) of bush near Glenwood .	O O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O
MAE SOT , Thailand 1996-08-25	B-LOC E-LOC O S-LOC O
Fastest lap : Berger 1:53.067 ( 221.857 kph )	O O O S-PER O O O O O
highest score , average ) :	O O O O O O
In Boston , former Mariner Darren Bragg 's first career grand slam in the sixth inning off reliever Randy Johnson lifted the Boston Red Sox to their fifth win in six games , a 9-5 victory over Seattle .	O S-LOC O O B-PER I-PER E-PER O O O O O O O O O O O B-PER E-PER O O B-ORG I-ORG E-ORG O O O O O O O O O O O O S-LOC O
8. Mark Richardson ( Britain ) 45.67	O B-PER E-PER O S-LOC O O
1.206 bln 3 days	O O O O
Result of a Scottish premier	O O O S-MISC O
Texas 10 CLEVELAND 8 ( in 10 )	S-ORG O S-ORG O O O O O
Yeltsin had told Kohl about efforts to find a political solution to the conflict in Russia 's breakaway Chechnya region , Interfax added .	S-PER O O S-PER O O O O O O O O O O O S-LOC O O S-LOC O O S-ORG O O
13. Mika Salo ( Finland ) Tyrrell 1:54.095	O B-PER E-PER O S-LOC O S-ORG O
Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : " The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . "	O O O O S-MISC O O O O O O O O O O O O O S-LOC O B-ORG E-ORG O B-PER E-PER O S-ORG O O O O O O O O O O O O O O O O S-LOC O O O
1996-08-27	O
denotes seeding ) :	O O O O
Alberto Berasategui ( Spain ) beat Cecil Mamiit ( U.S. ) 6-1 6-4 6-0	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O
Detroit 10 KANSAS CITY 3	S-ORG O B-ORG E-ORG O
The fast-moving Olsza , 18 , was cool in her opening match .	O O S-PER O O O O O O O O O O
6. Dugmore 152	O S-PER O
2. Paul Malin ( Britain ) Yamaha 317	O B-PER E-PER O S-LOC O S-ORG O
Messages of goodwill continued to roll into the team hotel .	O O O O O O O O O O O
The accident was being investigated , police added .	O O O O O O O O O
The company said that during the quarter , which began June 1 , it bought $ 30 million par value of its outstanding 10-3/8 percent senior notes due 2001 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Hampshire 105-4 .	S-ORG O O
TOKYO 1996-08-26	S-LOC O
- SPEECH / 96 / 202 : Speech by European Commissioner Anita Gradin at the World Congress against Sexual Exploitation of Children in Stockholm .	O O O O O O O O O S-MISC O B-PER E-PER O O B-MISC I-MISC I-MISC I-MISC I-MISC I-MISC E-MISC O S-LOC O
Texas 11 MINNESOTA 2	S-ORG O S-ORG O
Mentmore Abbey , the UK stationery and housewares business formerly known as Platignum , said it was making the statement in response to recent newspaper articles linking the two groups .	B-ORG E-ORG O O S-LOC O O O O O O O S-ORG O O O O O O O O O O O O O O O O O O
ATHLETICS - WOMEN 'S 1,000 METRES WORLD RECORD EVOLUTION .	O O O O O O O O O O
1. Osmond Ezinwa ( Nigeria ) 10.13 seconds	O B-PER E-PER O S-LOC O O O
MOSCOW 1996-08-23	S-LOC O
MATURITY SER A SER B SER A SER B	O O O O O O O O O
Oldest Albania book disappears from Vatican - paper .	O S-LOC O O O S-LOC O O O
The Japanese discount rate is currently at a record low of 0.5 percent .	O S-MISC O O O O O O O O O O O O
Still , the feisty Indonesian got off to a 3-0 lead in the tie-breaker before a pair of costly double faults gave Graf her chance to avoid a third set .	O O O O S-MISC O O O O O O O O O O O O O O O O O S-PER O O O O O O O O
ST LOUIS 67 59 .532 1/2	B-ORG E-ORG O O O O
MANCHESTER , England 1996-08-28	S-LOC O S-LOC O
" I do not want to say that there is a concrete danger for consumers , " he added . "	O O O O O O O O O O O O O O O O O O O O O
Bonnet , who has been coaching the Kwazulu-Natal provincial team , takes over from Englishman Gavin Featherstone who took South Africa to 10th place in the Olympic Games in Atlanta .	S-PER O O O O O O S-LOC O O O O O O S-MISC B-PER E-PER O O B-LOC E-LOC O O O O O B-MISC E-MISC O S-LOC O
KATHMANDU 1996-08-23	S-LOC O
" We agreed that following detailed scientific analysis using a methodology which would take out the maximum number of BSE cases possible .	O O O O O O O O O O O O O O O O O O O S-MISC O O O
While Mironivka 's scientists , some unpaid for months , carry on developing new strains of wheat resistant to Ukraine 's extreme continental climate , Borsuk said the lack of cash in Ukraine 's agricultural sector is as bad as the drought .	O S-ORG O O O O O O O O O O O O O O O O O S-LOC O O O O O S-PER O O O O O O S-LOC O O O O O O O O O O
Joining Chang into the second round was Wimbledon runner-up MaliVai Washington , the 11th seed , who also needed four sets to get past talented Moroccan Karim Alami 6-4 2-6 7-6 ( 7-5 ) 6-1 .	O S-PER O O O O O S-MISC O B-PER E-PER O O O O O O O O O O O O O O S-MISC B-PER E-PER O O O O O O O O
3-mth Helibor 3.40 pct 3.40 pct	O S-MISC O O O O
Antwerp 4 2 0 2 6 10 6	S-ORG O O O O O O O
Ghent 4 3 1 0 9 5 10	S-ORG O O O O O O O
NOTE - Orii Corp makes automation equipment .	O O B-ORG E-ORG O O O O
TENNIS - RESULTS AT CANADIAN OPEN .	O O O O B-MISC E-MISC O
3. Vyacheslav Ekimov ( Russia ) Rabobank 29 seconds behind	O B-PER E-PER O S-LOC O S-ORG O O O
China on Tuesday reaffirmed its support for a global nuclear test ban treaty blocked by India last week , saying the pact would be an important step in achieving total nuclear disarmament .	S-LOC O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O
Postponed : Peterborough v Notts County , Wrexham v Bristol	O O S-ORG O B-ORG E-ORG O S-ORG O S-ORG
Most Spaniards back talks with Basque rebels--poll .	O O O O O S-MISC O O
Scorers : Arkadiusz Bak ( 1st and 55th ) , Arwel Jones ( 47th ,	O O B-PER E-PER O O O O O O B-PER E-PER O O O
Men 's Draw	O O O
St George 20 North Queensland 24	B-ORG E-ORG O B-ORG E-ORG O
" The strategic aim of European integration should not in any way damage Ukraine 's interests in post-Soviet areas .	O O O O O S-MISC O O O O O O O S-LOC O O O S-MISC O O
Stocks were down across the board , with Dutch PTT topping the volume list and closing down 1.90 guilders at 58.70 .	O O O O O O O O B-ORG E-ORG O O O O O O O O O O O O
CALL : Non-Callable NIC	O O O O
Four shiny new green-and-yellow John Deere combines parked at this 1,750-hectare ( 4,325-acre ) farm in the grain-growing regions south of Kiev do n't fill its chief agronomist with enthusiasm .	O O O O B-PER E-PER O O O O O O O O O O O O O O O S-LOC O O O O O O O O O
Albania asks Greece to explain deportations .	S-LOC O S-LOC O O O O
It also cited a limitation on Medicare reimbursement for some services provided during the quarter .	O O O O O O S-MISC O O O O O O O O O
Nepal man held for keeping child servant in chains .	S-LOC O O O O O O O O O
4-1/2 Apr 2006 bond 101.80 / 90 yield 4.252 pct	O O O O O O O O O O
He walked three and struck out three in winning for the 10th time in his last 11 decisions .	O O O O O O O O O O O O O O O O O O O
9. Agnieszka Godras ( Poland ) 8	O B-PER E-PER O S-LOC O O
Sarah Pitkowski ( France ) beat Meghann Shaughnessy ( U.S. ) 6-3 6- 3	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O
Vasco da Gama 4 2 0 2 6 7 6	B-ORG I-ORG E-ORG O O O O O O O
Belmondo ( France ) Ennea Ferrari F40 167	S-PER O S-LOC O B-MISC I-MISC E-MISC O
Barnsley 3 3 0 0 8 2 9	S-ORG O O O O O O O
Bayern Munich 4 Bayer Leverkusen 2	B-ORG E-ORG O B-ORG E-ORG O
Year to December 31 , 1996	O O O O O O
Maslova said the wound had affected a lung and a kidney .	S-PER O O O O O O O O O O O
3. Gillian Russell ( Jamaica ) 12.95	O B-PER E-PER O S-LOC O O
Leading overall standings after second stage .	O O O O O O O
Tomas Cibola ( 58th ) .	B-PER E-PER O O O O
W L PCT GB	O O O O
Club secretary Bernard Halford said in a statement : " The chairman and Board would like to place on record their appreciation of his endeavours and efforts whilst in his period of office and wish him well in the future . "	O O B-PER E-PER O O O O O O O O O S-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O
20,000 .	O O
On Saturday investigators with dogs trained to find bodies searched one house at Ransart and one at Mont-sur-Marchienne -- both suburbs of the southern city of Charleroi .	O O O O O O O O O O O O O S-LOC O O O S-LOC O O O O O O O O S-LOC O
-- Amsterdam newsroom +31 20 504 5000 , Fax +31 20 504 5040	O S-LOC O O O O O O O O O O O
" It is a smaller reduction in terms of loudness than was sought by local people .	O O O O O O O O O O O O O O O O O
Later the mission was looted , " it added .	O O O O O O O O O O
The MDS was represented in court and admitted owing money for rent but did not give details .	O S-ORG O O O O O O O O O O O O O O O O
MTK 3 Ferencvaros 0	S-ORG O S-ORG O
Under the revised version state spending is expected to rise by some 566 billion lei .	O O O O O O O O O O O O O O O O
JORNAL DE ANGOLA	B-ORG I-ORG E-ORG
Sampras avenged that defeat with a straight sets win over the 19-year-old power hitter in the second round at Wimbledon and their rubber match in New York could provide some first-week fireworks .	S-PER O O O O O O O O O O O O O O O O O O S-LOC O O O O O B-LOC E-LOC O O O O O O
LONDON 1996-08-23	S-LOC O
12. Craig MacLean ( Britain ) 1:05.735	O B-PER E-PER O S-LOC O O
Results of South Korean	O O B-MISC E-MISC
Neuchatel 8 6 1 1 12 7 19	S-ORG O O O O O O O
Incumbent president Lennart Meri won 49 votes compared to 34 won by his rival , deputy Parliamentary Speaker Arnold Ruutel .	O O B-PER E-PER O O O O O O O O O O O O O O B-PER E-PER O
Def .	O O
Berlex also charges that Avonex is so similar to its MS drug , Betaseron , that it is a patent infringement .	S-ORG O O O S-MISC O O O O O O O O S-MISC O O O O O O O O
Iran has an estimated one million drug addicts and is a key transit route for drugs , mostly opium , smuggled to Europe through Afghanistan and Pakistan -- the so called " Golden Crescent . "	S-LOC O O O O O O O O O O O O O O O O O O O O O S-LOC O S-LOC O S-LOC O O O O O B-ORG E-ORG O O
" They want to drive you out of politics and they ca n't , " he added . "	O O O O O O O O O O O O O O O O O O O
He met Russian Prime Minister Viktor Chernomyrdin on Monday and , according to the press service of Lebed 's Security Council , could meet Yeltsin on Tuesday .	O O S-MISC O O B-PER E-PER O O O O O O O O O O S-PER O B-ORG E-ORG O O O S-PER O O O
The Algerian ambassador in London has also asked for clarification from the Foreign Office over the meeting of Islamist groups .	O S-MISC O O S-LOC O O O O O O O B-ORG E-ORG O O O O S-MISC O O
Croft 29-6-64-1 , Cork 14.3-4-45-1 , Salisbury 17-0-91-0	S-PER O O S-PER O O S-PER O
Suwon 1 3 0 7 3 6	S-ORG O O O O O O
Nigeria would not refuse Commonwealth officials .	S-LOC O O O S-ORG O O
